City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Baykit,RU,61.67,96.37,-0.04,99,100,1.92,overcast clouds
80,Mataura,NZ,-46.1927,168.8643,58.48,97,100,3.96,overcast clouds
81,Agropoli,IT,40.3469,14.9966,53.29,63,0,6.44,clear sky
82,Xai-Xai,MZ,-25.0519,33.6442,74.79,83,1,8.97,clear sky
83,Port Elizabeth,ZA,-33.918,25.5701,71.1,100,75,8.05,broken clouds
84,San Buenaventura,MX,27.0833,-101.5333,83.32,28,40,13.8,scattered clouds
85,Ikot Ekpene,NG,5.1794,7.7108,79.18,72,3,4.94,clear sky
86,Lodwar,KE,3.1191,35.5973,86.97,36,100,11.88,overcast clouds
87,Port Blair,IN,11.6667,92.75,77.04,78,20,4.61,mist
88,Ixtapa,MX,20.7,-105.2,76.23,64,0,10.36,clear sky
89,Sokoni,TZ,-6.4333,39.55,80.98,78,100,11.74,overcast clouds
90,Victoria,HK,22.2855,114.1577,59.95,93,100,5.99,overcast clouds
91,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.25,89,100,7.36,moderate rain
92,Rawicz,PL,51.6095,16.8585,35.22,95,91,13.42,overcast clouds
93,Ostrovnoy,RU,68.0531,39.5131,20.82,91,100,15.01,light snow
94,Torbay,CA,47.6666,-52.7314,24.76,85,20,8.05,few clouds
95,Saldanha,ZA,-33.0117,17.9442,65.75,86,79,6.91,broken clouds
96,Hovd,MN,48.0056,91.6419,-4.9,98,96,0.22,overcast clouds
97,Albany,US,42.6001,-73.9662,42.67,76,82,7.52,broken clouds
98,Lata,PT,40.1629,-8.3327,49.06,73,95,2.26,overcast clouds
99,Beringovskiy,RU,63.05,179.3167,2.34,79,79,20.11,broken clouds
100,Busselton,AU,-33.65,115.3333,67.05,48,100,14.52,overcast clouds
101,Port Lavaca,US,28.615,-96.6261,75.52,89,75,12.66,broken clouds
102,The Valley,AI,18.217,-63.0578,78.94,73,20,10.36,few clouds
103,Katsuura,JP,35.1333,140.3,40.19,51,30,9.46,scattered clouds
104,Stykkisholmur,IS,65.0757,-22.7297,24.55,77,95,4.54,light snow
105,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,75,13.8,light snow
106,Wieliczka,PL,49.9874,20.0647,34.95,84,100,5.99,overcast clouds
107,Yellowknife,CA,62.456,-114.3525,-20.7,68,20,3.44,few clouds
108,Kalmunai,LK,7.4167,81.8167,74.89,74,84,3.18,broken clouds
109,Luderitz,NA,-26.6481,15.1594,68.27,78,68,1.77,broken clouds
110,Padang,ID,-0.9492,100.3543,76.91,86,78,3.6,broken clouds
111,Gorontalo,ID,0.5412,123.0595,73.13,89,98,3.98,overcast clouds
112,Kununurra,AU,-15.7667,128.7333,76.98,88,40,5.75,scattered clouds
113,East London,ZA,-33.0153,27.9116,74.89,94,59,11.56,light rain
114,Turayf,SA,31.6725,38.6637,48.45,46,0,19.57,clear sky
115,Manggar,ID,-2.8833,108.2667,78.39,84,100,5.48,overcast clouds
116,Gat,IL,31.61,34.7642,59.4,55,98,4.45,overcast clouds
117,Mehamn,NO,71.0357,27.8492,24.46,73,100,9.48,light snow
118,Hermanus,ZA,-34.4187,19.2345,65.89,87,5,11.12,clear sky
119,Treinta Y Tres,UY,-33.2333,-54.3833,80.85,47,0,15.28,clear sky
120,Qaanaaq,GL,77.484,-69.3632,-14.91,81,100,6.98,overcast clouds
121,Ferrol,ES,43.4832,-8.2369,54.27,73,99,5.08,overcast clouds
122,Esperance,AU,-33.8667,121.9,60.71,72,2,12.15,clear sky
123,Bone,DE,51.9669,12.1396,36.37,86,21,6.76,few clouds
124,Chokurdakh,RU,70.6333,147.9167,-19.59,97,100,6.93,overcast clouds
125,Hirara,JP,24.8,125.2833,70.07,88,75,6.91,broken clouds
126,Upernavik,GL,72.7868,-56.1549,-5.13,69,100,7.65,overcast clouds
127,Quatre Cocos,MU,-20.2078,57.7625,79.09,89,100,32.64,moderate rain
128,Ulaanbaatar,MN,47.9077,106.8832,-23.67,69,0,0.0,clear sky
129,Talnakh,RU,69.4865,88.3972,-6.12,99,93,6.29,overcast clouds
130,Korla,CN,41.7597,86.1469,23.05,57,11,6.98,few clouds
131,Matamoros,MX,25.5333,-103.25,84.31,14,75,9.22,broken clouds
132,New Norfolk,AU,-42.7826,147.0587,61.66,55,68,1.01,broken clouds
133,Batagay,RU,67.6333,134.6333,-33.52,99,76,3.36,broken clouds
134,Margate,GB,51.3813,1.3862,47.95,85,100,3.0,overcast clouds
135,Carnarvon,AU,-24.8667,113.6333,77.07,88,75,11.5,broken clouds
136,Labuhan,ID,-6.8844,112.2051,77.63,86,100,5.12,overcast clouds
137,Haines Junction,CA,60.7522,-137.5108,1.35,60,100,2.3,overcast clouds
138,Medicine Hat,CA,50.0501,-110.6683,2.91,64,40,5.01,scattered clouds
139,Kavieng,PG,-2.5744,150.7967,78.42,84,100,13.67,light rain
140,Kaitangata,NZ,-46.2817,169.8464,54.36,95,100,4.99,overcast clouds
141,Tautira,PF,-17.7333,-149.15,87.82,77,16,17.43,light rain
142,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,86,100,13.8,overcast clouds
143,Kuminskiy,RU,58.6667,66.5667,18.75,94,91,8.3,overcast clouds
144,Galesong,ID,-5.3166,119.3661,75.22,82,100,2.77,overcast clouds
145,Santa Maria,BR,-29.6842,-53.8069,88.9,48,0,5.75,clear sky
146,Broken Hill,AU,-31.95,141.4333,58.71,55,0,24.16,clear sky
147,Tinaquillo,VE,9.9186,-68.3047,82.11,54,91,3.42,overcast clouds
148,Khasan,RU,42.4308,130.6434,15.46,55,1,18.88,clear sky
149,Bethel,US,41.3712,-73.414,41.83,65,100,1.14,overcast clouds
150,Latung,PH,5.5,120.8833,80.46,75,94,3.85,overcast clouds
151,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,31.07,moderate rain
152,Bredasdorp,ZA,-34.5322,20.0403,69.12,73,47,1.14,scattered clouds
153,Longyearbyen,SJ,78.2186,15.6401,15.64,67,0,20.71,clear sky
